家賃（円）,管理費（円）,家賃+管理費,敷金（円）,敷金（◯ヶ月分）,礼金（円）,礼金（◯ヶ月分）,間取り,面積（m2）,向き,タイプ,築年数,地区,駅・バス停までの時間（徒歩、分）,最寄り駅・バス停
17000,0,17000,0,0.00,0,0,1R,19.87,東,マンション,38,石川県野々市市扇が丘,10,北陸鉄道石川線/野々市工大前駅 
17000,4000,21000,0,0.00,0,0,1R,15.22,北,マンション,34,石川県野々市市高橋町,5,北陸鉄道石川線/野々市工大前駅
17000,4000,21000,0,0.00,0,0,1R,15.22,北,マンション,34,石川県野々市市高橋町,5,北陸鉄道石川線/野々市工大前駅
17000,4000,21000,0,0.00,0,0,1R,15.22,北,マンション,34,石川県野々市市高橋町,5,北陸鉄道石川線/野々市工大前駅
17000,4000,21000,0,0.00,0,0,1R,15.22,南,マンション,34,石川県野々市市高橋町,5,北陸鉄道石川線/野々市工大前駅
17000,4000,21000,0,0.00,0,0,1R,15.22,北,マンション,34,石川県野々市市高橋町,5,北陸鉄道石川線/野々市工大前駅
17000,4000,21000,0,0.00,0,0,1R,15.22,北,マンション,34,石川県野々市市高橋町,5,北陸鉄道石川線/野々市工大前駅
17000,4000,21000,0,0.00,0,0,1R,15.22,南,マンション,34,石川県野々市市高橋町,5,北陸鉄道石川線/野々市工大前駅
15000,0,15000,0,0.00,0,0,1R,17.35,東,マンション,38,石川県野々市市扇が丘,10,北陸鉄道石川線/野々市工大前駅 
22000,0,22000,22000,1.00,0,0,1K,19.83,南,アパート,47,石川県金沢市横川２,10,北陸鉄道石川線/野々市工大前駅 
38000,4000,42000,0,0.00,0,0,3DK,52.25,南,マンション,50,石川県野々市市菅原町,14,北陸鉄道石川線/馬替駅 
32000,2700,34700,64000,2.00,20000,0.625,1K,26.28,東,マンション,35,石川県野々市市扇が丘,6,北鉄バス/金沢工大前バス停
32000,2200,34200,64000,2.00,0,0,1K,25.92,東,マンション,36,石川県野々市市扇が丘,2,北鉄バス　有松四十万線/工業大学前
32000,2200,34200,64000,2.00,0,0,1K,25.92,東,マンション,36,石川県野々市市扇が丘,2,北鉄バス　有松四十万線/工業大学前
32000,2200,34200,64000,2.00,0,0,1K,25.92,東,マンション,36,石川県野々市市扇が丘,2,北鉄バス　有松四十万線/工業大学前
30000,2200,32200,60000,2.00,0,0,1K,25.92,東,マンション,36,石川県野々市市扇が丘,2,北鉄バス　有松四十万線/工業大学前
33000,2500,35500,0,0.00,0,0,1K,27.92,西,マンション,33,石川県野々市市高橋町,8,野々市線/東野々市
34000,2000,36000,68000,2.00,0,0,1K,22.68,西,アパート,30,石川県野々市市高橋町,1,北鉄バス/金沢工大前
30000,3000,33000,0,0.00,0,0,1K,24.42,-,アパート,33,石川県金沢市横川２,12,北陸鉄道石川線/野々市駅 
17000,0,17000,30000,1.76,0,0,1K,17.55,南,マンション,33,石川県野々市市高橋町,9,北鉄バス/工大前
16500,4000,20500,30000,1.82,0,0,1R,22.95,南,マンション,31,石川県野々市市高橋町,5,北鉄バス/工業大学前
20000,1500,21500,20000,1.00,0,0,1K,18.27,東,アパート,46,石川県野々市市住吉町,7,北陸鉄道石川線/馬替駅
52000,2500,54500,52000,1.00,52000,1,2LDK,51.33,-,アパート,29,石川県野々市市若松町,12,北陸鉄道石川線/野々市駅 
52000,2500,54500,52000,1.00,52000,1,2LDK,51.33,-,アパート,29,石川県野々市市若松町,12,北陸鉄道石川線/野々市駅 
67000,3400,70400,0,0.00,134000,2,2LDK,56.89,南東,アパート,15,石川県野々市市扇が丘,13,北陸鉄道石川線/馬替駅 
39000,4200,43200,39000,1.00,0,0,1K,25.05,東,マンション,23,石川県野々市市扇が丘,12,北陸鉄道石川線/馬替駅 
59000,3500,62500,0,0.00,59000,1,1LDK,42.11,南,アパート,16,石川県野々市市扇が丘,8,ＩＲいしかわ鉄道/金沢駅 バス31分 (バス停)扇が丘
55000,3500,58500,0,0.00,55000,1,1LDK,33.39,南,アパート,15,石川県野々市市若松町,5,北鉄バス/西野々市
57000,5200,62200,57000,1.00,0,0,1LDK,46.2,南西,マンション,12,石川県野々市市本町１,4,北陸鉄道石川線/野々市駅
39000,4200,43200,39000,1.00,0,0,1K,25.05,東,マンション,23,石川県野々市市扇が丘,6,北陸鉄道バス/工業大学前
59000,5000,64000,0,0.00,59000,1,1LDK,40.33,西,アパート,11,石川県金沢市横川２,4,北鉄バス/横川４丁目
64000,4500,68500,0,0.00,64000,1,1LDK,40.52,-,アパート,14,石川県金沢市横川３,11,北陸鉄道石川線/押野駅 
64000,4500,68500,0,0.00,64000,1,1LDK,40.52,南西,アパート,14,石川県金沢市横川３,11,北陸鉄道石川線/押野駅 
64000,4500,68500,0,0.00,64000,1,1LDK,40.52,-,アパート,14,石川県金沢市横川３,11,北陸鉄道石川線/押野駅 
64000,4500,68500,0,0.00,64000,1,1LDK,40.52,-,アパート,14,石川県金沢市横川３,11,北陸鉄道石川線/押野駅 
62000,2000,64000,0,0.00,62000,1,2LDK,57.17,南,アパート,13,石川県野々市市横宮町,8,北陸鉄道石川線/野々市駅
62000,2000,64000,0,0.00,62000,1,2LDK,57.17,南,アパート,13,石川県野々市市横宮町,8,北陸鉄道石川線/野々市駅
66000,5500,71500,0,0.00,132000,2,1LDK,46.72,-,アパート,10,石川県野々市市押野４,4,北陸鉄道石川線/押野駅
66000,5500,71500,0,0.00,132000,2,1LDK,46.72,-,アパート,10,石川県野々市市押野４,4,北陸鉄道石川線/押野駅
66000,5500,71500,0,0.00,132000,2,1LDK,46.72,-,アパート,10,石川県野々市市押野４,4,北陸鉄道石川線/押野駅
53000,2500,55500,0,0.00,0,0,2LDK,53.58,東,マンション,18,石川県野々市市本町１,1,北陸鉄道石川線/野々市駅
53000,2500,55500,0,0.00,0,0,2LDK,53.58,東,マンション,18,石川県野々市市本町１,1,北陸鉄道石川線/野々市駅
53000,2500,55500,0,0.00,0,0,2LDK,53.58,東,マンション,18,石川県野々市市本町１,1,北陸鉄道石川線/野々市駅
52000,2500,54500,52000,1.00,52000,1,2LDK,51.33,-,アパート,29,石川県野々市市若松町,10,北陸鉄道石川線/野々市駅 
51000,2000,53000,0,0.00,51000,1,1LDK,47.42,南,アパート,12,石川県野々市市本町１,3,北陸鉄道石川線/野々市駅
51000,2000,53000,0,0.00,51000,1,1LDK,47.42,南,アパート,12,石川県野々市市本町１,3,北陸鉄道石川線/野々市駅
53000,3500,56500,0,0.00,53000,1,2K,36.68,南,アパート,21,石川県野々市市若松町,11,北陸鉄道石川線/野々市駅 
55000,2500,57500,0,0.00,0,0,2LDK,56.53,南,アパート,25,石川県野々市市住吉町,5,北鉄バス/住吉町
55000,2200,57200,55000,1.00,0,0,2LDK,60.99,西,アパート,23,石川県野々市市本町３,2,野々市線/野々市本町三丁目
55000,3500,58500,0,0.00,55000,1,1LDK,33.7,南,アパート,15,石川県野々市市若松町,15,北陸鉄道石川線/野々市駅 
55000,3500,58500,0,0.00,55000,1,1LDK,33.39,南,アパート,15,石川県野々市市若松町,15,北陸鉄道石川線/野々市駅 
61000,5000,66000,0,0.00,122000,2,1LDK,33.61,南,アパート,4,石川県野々市市高橋町,5,北鉄バス/金沢工業大学
31000,2000,33000,0,0.00,0,0,1R,18.93,南,アパート,27,石川県金沢市久安１,1,ＪＲ北陸本線/西金沢駅 バス30分 (バス停)西三馬
66000,5000,71000,0,0.00,66000,1,1LDK,39.77,-,アパート,5,石川県金沢市横川２,9,北陸鉄道石川線/野々市駅
66000,5000,71000,0,0.00,66000,1,1LDK,39.77,南,アパート,5,石川県金沢市横川２,9,北陸鉄道石川線/野々市駅
66000,5000,71000,0,0.00,66000,1,1LDK,39.77,南,アパート,5,石川県金沢市横川２,9,北陸鉄道石川線/野々市駅
66000,5000,71000,0,0.00,66000,1,1LDK,39.77,南,アパート,5,石川県金沢市横川２,9,北陸鉄道石川線/野々市駅
57000,3500,60500,0,0.00,57000,1,1LDK,33.39,南,アパート,15,石川県野々市市若松町,15,北陸鉄道石川線/野々市駅 
58000,5200,63200,58000,1.00,0,0,1LDK,47.7,南西,マンション,12,石川県野々市市本町１,5,北陸鉄道石川線/野々市駅
37000,2000,39000,37000,1.00,0,0,1K,26.58,東,アパート,23,石川県野々市市本町１,8,北陸鉄道石川線/野々市駅
41000,3000,44000,82000,2.00,0,0,1DK,35.09,南,アパート,27,石川県野々市市菅原町,15,北陸鉄道石川線/馬替駅 
41000,3000,44000,82000,2.00,0,0,1DK,35.09,南,アパート,27,石川県野々市市菅原町,15,北陸鉄道石川線/馬替駅 
41000,3000,44000,82000,2.00,0,0,1DK,35.09,南,アパート,27,石川県野々市市菅原町,15,北陸鉄道石川線/馬替駅 
41000,3000,44000,82000,2.00,0,0,1DK,35.09,南,アパート,27,石川県野々市市菅原町,15,北陸鉄道石川線/馬替駅 
64000,5000,69000,0,0.00,128000,2,1LDK,39.77,西,アパート,4,石川県野々市市高橋町,5,北鉄バス/金沢工業大学
40000,3000,43000,0,0.00,0,0,1K,20,南西,マンション,20,石川県金沢市久安２,1,北鉄バス/久安2丁目
62000,2000,64000,62000,1.00,0,0,2DK,59.4,南,アパート,19,石川県野々市市本町３,3,野々市線/野々市本町三丁目
72000,3500,75500,0,0.00,72000,1,1LDK,56.85,-,アパート,13,石川県野々市市扇が丘,10,北陸鉄道石川線/馬替駅 
72000,3500,75500,0,0.00,72000,1,1LDK,56.85,-,アパート,13,石川県野々市市扇が丘,10,北陸鉄道石川線/馬替駅 
39000,2700,41700,0,0.00,0,0,1R,29.13,南東,アパート,25,石川県野々市市菅原町,5,北陸鉄道バス/南野々市
39000,3000,42000,0,0.00,0,0,1DK,34.4,南,アパート,33,石川県金沢市久安２,5,バス/久安２丁目
41000,3000,44000,82000,2.00,0,0,1DK,34.4,南,アパート,33,石川県金沢市久安２,5,バス/久安２丁目
35000,1500,36500,35000,1.00,0,0,1K,30.53,南,アパート,25,石川県野々市市本町１,3,北陸鉄道石川線/野々市駅
35000,1500,36500,35000,1.00,0,0,1K,30.53,南,アパート,25,石川県野々市市本町１,3,北陸鉄道石川線/野々市駅
32000,2200,34200,64000,2.00,0,0,1K,25.92,東,マンション,36,石川県野々市市扇が丘,2,北鉄バス　有松四十万線/工業大学前
71000,5500,76500,0,0.00,142000,2,1LDK,44.51,西,アパート,7,石川県野々市市本町１,2,北陸鉄道石川線/野々市駅
30000,1000,31000,60000,2.00,0,0,2K,30.64,東,アパート,33,石川県金沢市久安１,5,北鉄バス/金沢工大前
31000,2000,33000,0,0.00,0,0,1R,18.93,北,アパート,27,石川県金沢市久安１,1,ＪＲ北陸本線/西金沢駅 バス30分 (バス停)西三馬
35000,2000,37000,0,0.00,0,0,1K,30.53,南,アパート,27,石川県野々市市本町１,1,北陸鉄道石川線/野々市駅
35000,2000,37000,0,0.00,0,0,1K,29.94,南,アパート,27,石川県野々市市本町１,1,北陸鉄道石川線/野々市駅
30000,3000,33000,0,0.00,0,0,2LDK,55.35,-,マンション,47,石川県金沢市横川２,10,北陸鉄道石川線/野々市駅 
30000,0,30000,0,0.00,0,0,1K,25.53,西,マンション,38,石川県野々市市横宮町,3,北陸鉄道バス/西野々市
29000,3000,32000,0,0.00,0,0,2LDK,55.35,-,マンション,47,石川県金沢市横川２,10,北陸鉄道石川線/野々市駅 
29000,3000,32000,0,0.00,0,0,2LDK,55.35,-,マンション,47,石川県金沢市横川２,10,北陸鉄道石川線/野々市駅 
30000,5000,35000,0,0.00,0,0,1K,22.56,南,アパート,28,石川県野々市市本町１,4,北陸鉄道石川線/野々市駅
30000,5000,35000,0,0.00,0,0,1K,22.56,南,アパート,28,石川県野々市市本町１,4,北陸鉄道石川線/野々市駅
28000,1000,29000,0,0.00,0,0,2K,28.87,東,アパート,34,石川県金沢市久安１,2,北陸鉄道/西三馬
34000,2000,36000,68000,2.00,0,0,1K,22.68,西,アパート,30,石川県野々市市高橋町,1,北鉄バス/金沢工大前
30000,3000,33000,0,0.00,0,0,1K,24.42,-,アパート,33,石川県金沢市横川２,12,北陸鉄道石川線/野々市駅 
26000,2700,28700,0,0.00,0,0,1K,21.6,-,マンション,28,石川県野々市市本町４,4,北陸鉄道バス/西野々市
19000,0,19000,30000,1.58,0,0,1K,17.55,南,マンション,33,石川県野々市市高橋町,9,北鉄バス/工大前
19000,0,19000,30000,1.58,0,0,1K,17.55,南,マンション,33,石川県野々市市高橋町,9,北鉄バス/工大前
19000,0,19000,30000,1.58,0,0,1K,17.55,南,マンション,33,石川県野々市市高橋町,9,北鉄バス/工大前
20000,1500,21500,20000,1.00,0,0,1K,18.27,東,アパート,46,石川県野々市市住吉町,12,中宮B線/額新町 
18000,0,18000,30000,1.67,0,0,1K,17.55,南,マンション,33,石川県野々市市高橋町,9,北鉄バス/工大前
18000,0,18000,30000,1.67,0,0,1K,17.55,南,マンション,33,石川県野々市市高橋町,9,北鉄バス/工大前
18000,0,18000,30000,1.67,0,0,1K,17.55,南,マンション,33,石川県野々市市高橋町,9,北鉄バス/工大前
17000,0,17000,30000,1.76,0,0,1K,17.55,南,マンション,33,石川県野々市市高橋町,9,北鉄バス/工大前
17000,0,17000,30000,1.76,0,0,1K,17.55,南,マンション,33,石川県野々市市高橋町,9,北鉄バス/工大前
17000,0,17000,30000,1.76,0,0,1K,17.55,南,マンション,33,石川県野々市市高橋町,9,北鉄バス/工大前
17000,0,17000,30000,1.76,0,0,1K,17.55,南,マンション,33,石川県野々市市高橋町,9,北鉄バス/工大前
17000,0,17000,30000,1.76,0,0,1K,17.55,南,マンション,33,石川県野々市市高橋町,9,北鉄バス/工大前
28000,2000,30000,56000,2.00,0,0,1K,21.28,南,アパート,37,石川県金沢市三馬３,2,北陸鉄道/西三馬
27000,2000,29000,54000,2.00,0,0,1K,21.28,南,アパート,37,石川県金沢市三馬３,2,北陸鉄道/西三馬
20000,2000,22000,40000,2.00,20000,1,1K,24.22,南,アパート,36,石川県野々市市住吉町,6,北陸鉄道石川線/馬替駅
20000,2000,22000,40000,2.00,20000,1,1K,24.22,-,アパート,36,石川県野々市市住吉町,6,北陸鉄道石川線/馬替駅
20000,2000,22000,40000,2.00,20000,1,1K,24.22,南,アパート,36,石川県野々市市住吉町,6,北陸鉄道石川線/馬替駅
20000,2000,22000,40000,2.00,20000,1,1K,24.22,-,アパート,36,石川県野々市市住吉町,6,北陸鉄道石川線/馬替駅
20000,2000,22000,40000,2.00,20000,1,1K,24.22,-,アパート,36,石川県野々市市住吉町,6,北陸鉄道石川線/馬替駅
20000,2000,22000,40000,2.00,20000,1,1K,24.22,-,アパート,36,石川県野々市市住吉町,6,北陸鉄道石川線/馬替駅
20000,2000,22000,40000,2.00,20000,1,1K,24.22,南,アパート,36,石川県野々市市住吉町,6,北陸鉄道石川線/馬替駅
20000,2000,22000,40000,2.00,20000,1,1K,24.22,南,アパート,36,石川県野々市市住吉町,6,北陸鉄道石川線/馬替駅
20000,0,20000,0,0.00,0,0,1R,18,西,マンション,31,石川県野々市市高橋町,3,北鉄バス/高橋町バス停
15000,4000,19000,0,0.00,0,0,1R,18,東,マンション,31,石川県野々市市高橋町,5,北鉄バス/工業大学前
20000,1500,21500,20000,1.00,0,0,1K,18.27,東,アパート,46,石川県野々市市住吉町,9,北陸鉄道石川線/馬替駅
58000,4000,62000,116000,2.00,116000,2,1LDK,45.96,南東,アパート,1,石川県金沢市馬替３,9,ＪＲ北陸本線/金沢駅 バス36分 (バス停)扇台小学校前
58000,4000,62000,116000,2.00,116000,2,1LDK,45.96,南東,アパート,1,石川県金沢市馬替３,9,ＪＲ北陸本線/金沢駅 バス36分 (バス停)扇台小学校前
22000,3500,25500,0,0.00,0,0,1R,26.61,西,マンション,50,石川県野々市市高橋町,3,のっティ中央/高橋
60000,4000,64000,120000,2.00,120000,2,1LDK,44.71,南西,アパート,1,石川県金沢市馬替３,9,ＪＲ北陸本線/金沢駅 バス36分 (バス停)扇台小学校前
60000,4000,64000,120000,2.00,120000,2,1LDK,44.71,南西,アパート,1,石川県金沢市馬替３,9,ＪＲ北陸本線/金沢駅 バス36分 (バス停)扇台小学校前
55000,3500,58500,0,0.00,55000,1,1LDK,33.7,-,アパート,15,石川県野々市市若松町,5,ＪＲ北陸本線/金沢駅 バス38分 (バス停)「西野々市」下車
55000,3500,58500,0,0.00,55000,1,1LDK,33.7,-,アパート,15,石川県野々市市若松町,5,ＪＲ北陸本線/金沢駅 バス38分 (バス停)「西野々市」下車
55000,3500,58500,0,0.00,55000,1,1LDK,33.39,-,アパート,15,石川県野々市市若松町,5,ＪＲ北陸本線/金沢駅 バス38分 (バス停)「西野々市」下車
57000,3500,60500,0,0.00,57000,1,1LDK,33.39,-,アパート,15,石川県野々市市若松町,5,ＪＲ北陸本線/金沢駅 バス38分 (バス停)「西野々市」下車
58000,3500,61500,0,0.00,58000,1,1LDK,41.89,-,アパート,16,石川県野々市市扇が丘,8,ＪＲ北陸本線/金沢駅 バス31分 (バス停)扇ヶ丘行き／「扇が丘」下車バス
53000,3500,56500,0,0.00,53000,1,1LDK,36.68,-,アパート,21,石川県野々市市若松町,3,ＪＲ北陸本線/金沢駅 バス33分 (バス停)野々市中央
53000,3500,56500,0,0.00,53000,1,1LDK,36.68,-,アパート,21,石川県野々市市若松町,3,ＪＲ北陸本線/金沢駅 バス33分 (バス停)野々市中央
53000,3500,56500,0,0.00,53000,1,1LDK,36.68,-,アパート,21,石川県野々市市若松町,3,ＪＲ北陸本線/金沢駅 バス33分 (バス停)野々市中央
53000,3500,56500,0,0.00,53000,1,1LDK,36.68,-,アパート,21,石川県野々市市若松町,3,ＪＲ北陸本線/金沢駅 バス33分 (バス停)野々市中央
64000,4500,68500,0,0.00,64000,1,1LDK,40.52,南西,アパート,14,石川県金沢市横川３,4,ＩＲいしかわ鉄道/金沢駅 バス34分 (バス停)押野
46000,3000,49000,92000,2.00,0,0,2K,37.8,南,アパート,20,石川県野々市市扇が丘,4,ＪＲ北陸本線/金沢駅 バス35分 (バス停)扇ヶ丘
52000,2500,54500,52000,1.00,52000,1,2LDK,51.33,南,アパート,29,石川県野々市市若松町,5,ＩＲいしかわ鉄道/金沢駅 バス38分 (バス停)野々市中央
71000,5500,76500,0,0.00,142000,2,1LDK,44.51,-,アパート,7,石川県野々市市本町１,5,ＪＲ北陸本線/野々市駅 バス18分 (バス停)北鉄バス「野々市中央」
58000,3500,61500,0,0.00,58000,1,1LDK,41.89,南,アパート,16,石川県野々市市扇が丘,8,ＪＲ北陸本線/金沢駅 バス31分 (バス停)扇が丘
58000,3500,61500,0,0.00,58000,1,1LDK,41.89,南,アパート,16,石川県野々市市扇が丘,8,ＩＲいしかわ鉄道/金沢駅 バス31分 (バス停)扇が丘
50000,2500,52500,0,0.00,100000,2,1R,29.41,南,アパート,1,石川県野々市市高橋町,5,ＪＲ北陸本線/金沢駅 バス35分 (バス停)東野々市市
35000,2000,37000,70000,2.00,0,0,3DK,50.69,南,アパート,36,石川県金沢市三馬３,4,ＩＲいしかわ鉄道/金沢駅 バス23分 (バス停)工業大学前　停
52000,2500,54500,0,0.00,104000,2,1R,29.5,北,アパート,1,石川県野々市市高橋町,5,ＪＲ北陸本線/金沢駅 バス35分 (バス停)東野々市市
52000,2500,54500,0,0.00,104000,2,1R,29.5,南,アパート,1,石川県野々市市高橋町,5,ＪＲ北陸本線/金沢駅 バス35分 (バス停)東野々市市
53000,2500,55500,0,0.00,106000,2,1R,33.54,西,アパート,1,石川県野々市市高橋町,5,ＪＲ北陸本線/金沢駅 バス35分 (バス停)東野々市市
72000,3500,75500,0,0.00,72000,1,1LDK,56.85,東,アパート,13,石川県野々市市扇が丘,6,ＩＲいしかわ鉄道/金沢駅 バス43分 (バス停)扇が丘中央
36000,2000,38000,54000,1.50,0,0,1K,25.46,南,アパート,28,石川県金沢市横川２,4,ＪＲ北陸本線/金沢駅 バス30分 (バス停)久安南　停
36000,2000,38000,54000,1.50,0,0,1K,25.46,南,アパート,28,石川県金沢市横川２,4,ＪＲ北陸本線/金沢駅 バス30分 (バス停)久安南　停
33000,3000,36000,0,0.00,0,0,1R,24.26,西,マンション,25,石川県野々市市高橋町,4,ＪＲ北陸本線/金沢駅 バス28分 (バス停)金沢工業大学（正門前）
33000,3000,36000,0,0.00,0,0,1R,24.26,東,マンション,25,石川県野々市市高橋町,4,ＪＲ北陸本線/金沢駅 バス28分 (バス停)金沢工業大学（正門前）
125000,5500,130500,0,0.00,125000,1,3LDK,92.73,-,一戸建て,8,石川県金沢市横川２,6,ＪＲ北陸本線/金沢駅 バス26分 (バス停)北鉄バス「横川４丁目」
125000,5500,130500,0,0.00,125000,1,3LDK,92.73,西,一戸建て,8,石川県金沢市横川２,6,ＩＲいしかわ鉄道/金沢駅 バス26分 (バス停)横川４丁目
125000,5500,130500,0,0.00,125000,1,3LDK,92.73,-,一戸建て,8,石川県金沢市横川２,6,ＪＲ北陸本線/金沢駅 バス26分 (バス停)北鉄バス「横川４丁目」
125000,5500,130500,0,0.00,125000,1,3LDK,92.73,-,一戸建て,8,石川県金沢市横川２,6,ＪＲ北陸本線/金沢駅 バス26分 (バス停)北鉄バス「横川４丁目」
125000,5500,130500,0,0.00,125000,1,3LDK,92.73,-,一戸建て,8,石川県金沢市横川２,6,ＪＲ北陸本線/金沢駅 バス26分 (バス停)北鉄バス「横川４丁目」
17000,3000,20000,34000,2.00,0,0,1K,18,南西,マンション,34,石川県金沢市久安３,5,ＪＲ北陸本線/金沢駅 バス20分 (バス停)久安南　停
125000,5500,130500,0,0.00,125000,1,3LDK,92.73,西,一戸建て,8,石川県金沢市横川２,6,ＪＲ北陸本線/金沢駅 バス26分 (バス停)北鉄バス「横川4丁目」
125000,5500,130500,0,0.00,125000,1,3LDK,92.73,西,一戸建て,8,石川県金沢市横川２,6,ＪＲ北陸本線/金沢駅 バス26分 (バス停)北鉄バス「横川4丁目」
