time[s],ax[m/s^2],ay[m/s^2],az[m/s^2]
0,-0.01348,0.03282,0.35626
0.002,-0.01348,0.03282,0.35626
0.013,-0.02506,0.0527,0.21625
0.031,-0.07459,0.19686,-0.59609
0.043,0.0157,-0.02285,0.26016
0.053,0.0157,-0.02285,0.26016
0.064,-0.01605,0.00946,0.2946
0.075,0.05394,0.10176,0.10825
0.088,0.01096,-0.02598,0.10402
0.099,0.01096,-0.02598,0.10402
0.11,-0.04509,0.04001,0.11264
0.12,-0.04509,0.04001,0.11264
0.139,0.05057,-0.00081,0.06738
0.151,0.05057,-0.00081,0.06738
0.161,0.04958,0.0941,0.03852
0.172,0.02863,0.22036,0.05221
0.188,0.05266,0.28654,0.01496
0.199,0.05266,0.28654,0.01496
0.209,0.00529,0.29053,0.05305
0.22,0.00529,0.29053,0.05305
0.23,0.04436,0.2188,0.06519
0.241,0.0244,0.11464,0.08626
0.254,0.0244,0.11464,0.08626
0.265,0.02556,0.16838,0.05966
0.276,0.04769,0.13849,0.05113
0.287,0.04769,0.13849,0.05113
0.305,0.00314,-0.06905,0.06479
0.316,0.00314,-0.06905,0.06479
0.327,-0.04237,-0.0261,0.07988
0.338,-0.0851,-0.02014,0.11185
0.355,0.06974,-0.0759,0.03727
0.366,0.06974,-0.0759,0.03727
0.377,0.02287,0.05727,0.0946
0.387,0.02287,0.05727,0.0946
0.398,0.05296,0.25776,0.04318
0.408,0.00379,0.50964,0.06928
0.42,0.00379,0.50964,0.06928
0.432,0.05775,0.60864,0.03885
0.442,0.03035,0.30164,0.07125
0.453,0.03035,0.30164,0.07125
0.471,0.08404,0.18499,0.05741
0.482,0.03718,0.04602,0.10403
0.492,0.05259,0.04189,0.07303
0.503,0.05259,0.04189,0.07303
0.521,0.03342,-0.21851,0.0718
0.533,0.01953,-0.38689,0.09725
0.542,0.02859,-0.70524,0.1168
0.553,0.02859,-0.70524,0.1168
0.57,0.03188,-0.86988,0.0592
0.582,0.02037,-0.41143,0.08235
0.593,0.06361,-0.13911,0.08594
0.604,0.06361,-0.13911,0.08594
0.621,-0.02345,-0.18699,0.11005
0.631,-0.02345,-0.18699,0.11005
0.642,-0.14656,0.42433,0.16116
0.653,-0.14656,0.42433,0.16116
0.664,-0.22934,0.61449,0.22172
0.674,0.3097,-0.13164,-0.15682
0.687,0.3097,-0.13164,-0.15682
0.697,-0.03669,-0.06033,-0.04908
0.708,0.05187,0.22319,0.12448
0.719,0.05187,0.22319,0.12448
0.738,-0.01373,-0.18487,0.09754
0.749,-0.01373,-0.18487,0.09754
0.76,0.11326,-0.01116,0.05405
0.771,0.03024,0.16625,0.07213
0.788,0.03368,0.53629,0.06931
0.799,0.03368,0.53629,0.06931
0.809,0.04715,0.7144,0.04881
0.82,0.04715,0.7144,0.04881
0.831,0.07832,0.7383,-0.05859
0.841,0.0941,0.33139,-0.02936
0.854,0.0941,0.33139,-0.02936
0.865,-0.06699,0.21873,0.13264
0.876,0.12772,0.38428,-0.04641
0.886,0.12772,0.38428,-0.04641
0.905,0.02479,0.29001,0.02052
0.916,0.02479,0.29001,0.02052
0.928,0.02676,0.29382,0.05038
0.938,-0.00629,-0.01764,0.1115
0.954,-0.00629,-0.01764,0.1115
0.965,0.01823,0.02186,0.0629
0.976,0.06231,-0.00789,0.01723
0.986,0.06231,-0.00789,0.01723
0.996,-0.05223,0.40752,0.08531
1.007,0.0047,0.40551,0.09247
1.02,0.0047,0.40551,0.09247
1.031,0.06935,-0.22927,0.02933
1.042,0.00524,-0.08595,-0.00346
1.053,0.00524,-0.08595,-0.00346
1.071,-0.06229,-0.0094,0.07984
1.082,-0.06229,-0.0094,0.07984
1.092,0.0954,-0.21034,0.02066
1.103,0.0954,-0.21034,0.02066
1.121,0.10442,0.34636,-0.07285
1.133,0.10442,0.34636,-0.07285
1.145,-0.05854,0.18506,0.11207
1.155,0.16733,0.79102,-0.11518
1.17,0.16733,0.79102,-0.11518
1.182,0.16952,0.33734,-0.00643
1.193,0.01984,0.49539,0.03028
1.203,0.01984,0.49539,0.03028
1.213,0.06615,0.3271,0.00143
1.224,-0.15309,0.38886,0.03784
1.237,-0.15309,0.38886,0.03784
1.247,-0.06618,0.28689,0.08393
1.258,-0.01689,0.12151,0.09557
1.269,-0.01689,0.12151,0.09557
1.288,0.09926,-0.25495,0.05756
1.3,0.09926,-0.25495,0.05756
1.312,0.06671,-0.36813,0.06667
1.323,0.05936,-0.49324,0.05689
1.337,0.07242,-0.25759,0.03374
1.348,0.07242,-0.25759,0.03374
1.359,0.03138,-0.08175,0.06452
1.37,0.03138,-0.08175,0.06452
1.38,0.08762,-0.07533,0.00463
1.391,-0.01918,-0.06106,0.05228
1.404,-0.01918,-0.06106,0.05228
1.415,-0.20009,0.04691,0.1231
1.426,0.05642,0.32317,0.08076
1.437,0.05642,0.32317,0.08076
1.454,0.09033,0.58596,-0.03348
1.464,0.09033,0.58596,-0.03348
1.475,-0.17821,1.64986,-0.12543
1.486,-0.17821,1.64986,-0.12543
1.496,0.22086,-0.08553,-0.12867
1.507,-0.03528,0.3198,0.15363
1.52,-0.03528,0.3198,0.15363
1.531,0.02084,0.42315,0.03681
1.542,-0.00273,0.12303,0.0337
1.553,-0.00273,0.12303,0.0337
1.571,0.06334,0.09987,-0.00922
1.582,0.01671,0.22194,0.10042
1.593,0.01115,0.0824,0.05013
1.603,0.01115,0.0824,0.05013
1.622,0.03191,0.00276,0.05104
1.634,0.03191,0.00276,0.05104
1.646,0.07354,-0.2523,0.04619
1.657,0.07605,-0.25436,0.02963
1.671,0.07605,-0.25436,0.02963
1.682,0.05371,-0.01457,0.01509
1.693,0.015,0.041,0.04588
1.703,0.015,0.041,0.04588
1.714,0.00894,0.34551,0.04263
1.725,0.04888,0.35747,0.00718
1.737,0.04888,0.35747,0.00718
1.748,0.0508,0.26248,0.00282
1.759,0.04556,0.19151,0.01885
1.77,0.04556,0.19151,0.01885
1.788,0.0186,0.09026,0.02325
1.799,0.0186,0.09026,0.02325
1.808,0.02201,0.07274,0.04853
1.819,0.02201,0.07274,0.04853
1.829,0.01978,0.1836,0.03609
1.839,0.04721,0.12568,0.03736
1.854,0.04721,0.12568,0.03736
1.865,0.02447,0.0345,0.00499
1.876,0.03532,0.04929,0.03854
1.887,0.03532,0.04929,0.03854
1.904,0.04048,-0.03223,0.03766
1.916,0.04048,-0.03223,0.03766
1.926,0.04336,0.05382,0.0425
1.937,0.04336,0.05382,0.0425
1.957,0.10252,0.35512,0.00506
1.958,-0.03039,-0.28365,0.06572
1.969,-0.03039,-0.28365,0.06572
1.979,0.00357,0.03352,0.02167
1.99,-0.02578,0.09013,0.04201
2,-0.02578,0.09013,0.04201
2.013,0.0456,0.04186,0.05986
2.022,0.11407,0.30348,0.02687
2.032,0.11407,0.30348,0.02687
2.042,0.04527,0.14728,0.04726
2.055,0.08443,0.26118,-0.01073
2.067,0.08443,0.26118,-0.01073
2.077,-0.01655,0.08178,0.06257
2.088,0.04093,0.21598,0.00863
2.099,0.04093,0.21598,0.00863
2.109,0.00266,0.218,0.00832
2.122,0.0815,0.10549,0.03354
2.132,0.0815,0.10549,0.03354
2.143,0.0751,0.11469,0.0415
2.153,0.0751,0.11469,0.0415
2.174,-0.04156,-0.21953,0.27364
2.185,-0.04156,-0.21953,0.27364
2.197,0.0183,0.25709,0.12712
2.208,0.05592,0.21582,-0.01131
2.224,0.0643,0.17482,0.0289
2.235,0.0643,0.17482,0.0289
2.246,-0.0027,0.08424,-0.0476
2.256,-0.0027,0.08424,-0.0476
2.267,0.01159,0.14028,0.12541
2.287,-0.03761,0.21942,0.02345
2.298,0.06198,0.22257,-0.12242
2.313,0.06198,0.22257,-0.12242
2.323,-0.00353,-0.02437,0.08387
2.339,-0.04935,-0.19734,0.12258
2.35,-0.04935,-0.19734,0.12258
2.361,0.04547,-0.08449,0.01809
2.372,0.11085,0.30015,0.00647
2.383,0.11085,0.30015,0.00647
2.393,0.04729,0.34266,-0.00174
2.405,0.04007,0.29601,0.0269
2.416,0.04007,0.29601,0.0269
2.427,0.07817,0.17088,0.01897
2.438,0.07817,0.17088,0.01897
2.456,0.04969,0.15832,0.02469
2.467,0.04969,0.15832,0.02469
2.478,0.09131,0.20497,-0.01105
2.489,0.11944,0.32762,-0.02005
2.506,0.18783,0.09748,-0.09018
2.517,0.18783,0.09748,-0.09018
2.528,0.04815,-0.00997,-0.07275
2.538,0.04815,-0.00997,-0.07275
2.549,-0.13006,-0.20125,-0.02628
2.559,-0.01846,-0.02823,0.30496
2.57,-0.01846,-0.02823,0.30496
2.581,-0.35268,0.19535,-0.08781
2.592,-0.16893,-0.1243,0.16536
2.603,-0.16893,-0.1243,0.16536
2.622,-0.07965,0.09873,0.15095
2.633,-0.07965,0.09873,0.15095
2.644,0.23325,0.31321,0.21413
2.655,0.23325,0.31321,0.21413
2.672,0.2997,0.37165,-0.02544
2.684,0.2997,0.37165,-0.02544
2.695,-0.02203,0.20635,0.22262
2.705,-0.01807,-0.02482,0.02149
2.722,0.03454,0.08415,0.13167
2.734,0.03454,0.08415,0.13167
2.745,0.1494,-0.01324,-0.02776
2.756,0.2153,0.02593,0.06635
2.773,0.06957,0.25207,0.01666
2.784,0.06957,0.25207,0.01666
2.795,-0.01623,0.19271,0.17112
2.805,0.11422,0.03861,0.11725
2.817,0.11422,0.03861,0.11725
2.827,0.11091,-0.07319,-0.00071
2.838,0.20113,-0.18783,0.06293
2.849,0.20113,-0.18783,0.06293
2.86,-0.13059,0.04269,0.02524
2.87,-0.13059,0.04269,0.02524
2.888,0.10032,-0.0906,-0.14572
2.899,0.10032,-0.0906,-0.14572
2.909,0.12171,-0.16421,0.09148
2.92,0.12171,-0.16421,0.09148
2.939,0.08348,-0.09497,0.00433
2.951,0.08348,-0.09497,0.00433
2.963,0.24794,0.13594,-0.02
2.974,-0.1866,-0.18518,-0.0627
2.989,0.11634,-0.15667,-0.165
3.001,0.11634,-0.15667,-0.165
3.011,0.03932,-0.15346,0.1404
3.022,-0.03463,-0.16097,-0.01926
3.033,-0.03463,-0.16097,-0.01926
3.044,-0.03572,-0.00364,-0.02821
3.054,-0.03572,-0.00364,-0.02821
3.065,0.06399,0.11064,-0.03596
3.076,0.0262,0.18758,0.10181
3.087,0.0262,0.18758,0.10181
3.105,0.00373,0.5844,0.20977
3.117,0.00373,0.5844,0.20977
3.128,-0.00978,0.97577,-0.02102
3.139,0.27773,1.12067,-0.18455
3.155,0.04195,0.92929,-0.10117
3.166,0.04195,0.92929,-0.10117
3.177,-0.22248,0.92643,0.1703
3.188,-0.16469,0.97743,0.12665
3.199,-0.16469,0.97743,0.12665
3.209,-0.10296,0.81478,-0.14306
3.221,0.3224,1.09367,-0.24229
3.232,0.3224,1.09367,-0.24229
3.243,-0.07334,-0.00908,0.95358
3.253,-0.07334,-0.00908,0.95358
3.263,0.2571,0.18165,-0.65908
3.278,-0.10045,-0.20475,0.11983
3.29,-0.10045,-0.20475,0.11983
3.3,0.07909,-0.01711,-0.22686
3.311,0.05214,-0.22888,-0.03268
3.322,0.05214,-0.22888,-0.03268
3.334,0.31175,-0.54374,-0.29923
3.345,-0.37096,-0.19271,0.42259
3.356,-0.37096,-0.19271,0.42259
3.367,-0.04719,-0.33444,-0.00794
3.39,0.05311,-0.64204,0.17519
3.39,-0.01937,-0.28882,-0.01943
3.402,-0.01937,-0.28882,-0.01943
3.412,0.01144,-0.20633,0.11647
3.423,0.11855,-0.21033,0.08221
3.442,-0.02968,0.01031,0.08736
3.452,-0.02968,0.01031,0.08736
3.463,0.07687,-0.05019,0.00092
3.473,0.07687,-0.05019,0.00092
3.491,-0.02306,-0.04551,0.12074
3.502,-0.02306,-0.04551,0.12074
3.512,-0.05006,0.03061,0.02805
3.522,-0.05006,0.03061,0.02805
3.533,-0.00508,0.19095,0.10714
3.546,0.07838,0.26145,-0.06051
3.558,0.11468,0.26113,-0.29516
3.569,0.11468,0.26113,-0.29516
3.579,0.01209,0.1288,0.03569
3.59,-0.1856,0.70954,0.21159
3.606,-0.02509,0.37689,-0.16442
3.62,-0.02509,0.37689,-0.16442
3.63,-0.00638,0.12275,0.01926
3.642,0.08398,0.28273,-0.03729
3.658,0.04791,0.25681,-0.04023
3.668,0.04791,0.25681,-0.04023
3.68,-0.07319,0.1949,0.07755
3.691,-0.03943,0.17939,0.02749
3.701,-0.03943,0.17939,0.02749
3.721,0.0773,0.0935,-0.08354
3.734,0.07697,0.05664,0.05199
3.745,0.01376,0.11464,0.0142
3.756,-0.00275,0.06949,-0.00265
3.768,-0.00275,0.06949,-0.00265
3.779,0.02902,0.09,0.03481
3.79,0.04557,-0.02084,-0.00602
3.801,0.04557,-0.02084,-0.00602
3.812,0.01242,-0.06327,0.04442
3.823,0.03291,-0.02011,0.01858
3.837,0.03291,-0.02011,0.01858
3.848,0.08672,0.08275,-0.04418
3.859,0.03553,0.1319,-0.01206
3.87,0.03553,0.1319,-0.01206
3.889,0.03948,0.14783,-0.00453
3.901,0.03948,0.14783,-0.00453
3.911,0.06751,0.22946,-0.04543
3.922,0.02334,0.38481,0.03889
3.939,-0.00153,0.74633,0.00802
3.95,-0.00153,0.74633,0.00802
3.961,-0.07739,0.93541,0.03842
3.972,-0.02648,0.80805,0.01209
3.989,0.02821,0.75208,0.00226
3.999,0.02821,0.75208,0.00226
4.01,0.031,0.6795,-0.01085
4.02,0.031,0.6795,-0.01085
4.03,0.01488,0.42272,-0.00978
4.041,0.02758,0.24506,-0.02425
4.055,0.03463,0.16771,0.07674
4.066,0.03463,0.16771,0.07674
4.076,0.01932,0.12923,0.00373
4.088,0.01932,0.12923,0.00373
4.106,0.01538,-0.11383,-0.03062
4.117,0.01538,-0.11383,-0.03062
4.128,0.14856,-0.23696,0.02145
4.139,0.06748,-0.44436,-0.05535
4.155,0.06748,-0.44436,-0.05535
4.166,-0.0372,-0.50101,0.05339
4.177,-0.00065,-0.16901,-0.1724
4.188,-0.01312,-0.04237,-0.16563
4.203,-0.01312,-0.04237,-0.16563
4.221,0.00296,0.02367,-0.11636
4.233,0.00296,0.02367,-0.11636
4.244,0.04671,0.20317,-0.10964
4.255,0.02426,0.17502,-0.10318
4.266,0.02426,0.17502,-0.10318
4.276,-0.00454,0.16366,-0.02134
4.287,-0.00454,0.16366,-0.02134
4.297,0.02698,0.24301,-0.09177
4.308,-0.01504,0.2788,-0.05831
4.324,-0.06265,0.53477,-0.3703
4.334,-0.06265,0.53477,-0.3703
4.345,0.05683,0.60395,-0.14645
4.356,-0.14467,0.69277,0.29121
4.367,-0.14467,0.69277,0.29121
4.377,0.01435,0.63782,-0.08953
4.389,0.0394,0.68583,0.07953
4.4,0.0394,0.68583,0.07953
4.411,0.03639,0.43079,0.3559
4.422,0.20881,0.13417,0.17543
4.439,0.05013,0.30881,-0.43911
4.45,0.05013,0.30881,-0.43911
4.461,-0.12001,0.29672,-0.0358
4.471,0.0018,0.26685,0.00878
4.482,0.0018,0.26685,0.00878
4.492,-0.00164,0.14566,-0.03539
4.506,0.0548,-0.18851,-0.13659
4.517,0.0548,-0.18851,-0.13659
4.528,0.03042,-0.18732,-0.14897
4.539,0.04627,-0.07359,-0.30942
4.557,0.13289,-0.04471,-0.30264
4.568,0.13289,-0.04471,-0.30264
4.579,-0.06251,0.28329,-0.10066
4.59,-0.1167,0.4472,0.12071
4.606,-0.03313,0.48476,0.04376
4.617,-0.03313,0.48476,0.04376
4.631,-0.03392,0.48492,0.04372
4.64,0.08178,0.38875,0.01532
4.657,-0.00012,0.34132,0.16088
4.668,-0.00012,0.34132,0.16088
4.679,-0.06449,0.55857,-0.12822
4.689,0.02964,0.49535,0.05905
4.7,0.02964,0.49535,0.05905
4.72,0.14033,0.44515,-0.20816
4.72,0.14033,0.44515,-0.20816
4.731,0.11806,0.54248,0.05498
4.743,-0.05186,0.50337,-0.09262
4.754,-0.05186,0.50337,-0.09262
4.772,-0.24342,-0.39813,0.26553
4.783,-0.24342,-0.39813,0.26553
4.794,0.0077,-0.71898,-0.01657
4.805,0.04997,-0.5554,-0.04205
4.822,-0.02494,-0.46766,0.06184
4.833,-0.02494,-0.46766,0.06184
4.843,0.02943,-0.22964,0.07607
4.853,0.02943,-0.22964,0.07607
4.864,0.05913,-0.14202,0.05168
4.874,0.10982,-0.19131,0.0314
4.887,0.10982,-0.19131,0.0314
4.898,-0.16787,-0.02623,0.2249
4.909,0.10296,-0.10777,-0.03631
4.92,0.10296,-0.10777,-0.03631
4.941,0.02875,-0.15105,0.08883
4.953,0.02875,-0.15105,0.08883
4.963,-0.09545,0.03993,0.02236
4.974,-0.09545,0.03993,0.02236
4.993,-0.04988,0.22915,0.0172
5.004,-0.04988,0.22915,0.0172
5.016,-0.15646,0.25578,0.051
5.026,0.17941,-0.10343,-0.00829
5.042,-0.10596,-0.08052,0.03942
5.053,-0.10596,-0.08052,0.03942
5.063,-0.06665,0.02967,0.02171
5.073,-0.06665,0.02967,0.02171
5.083,-0.05442,0.08177,0.11153
5.107,0.10203,0.30242,0.09022
5.107,0.14127,0.55052,-0.11737
5.118,0.14127,0.55052,-0.11737
5.129,-0.07363,0.88578,0.0125
5.141,0.01392,0.87306,-0.00183
5.157,0.03811,0.76026,0.01977
5.169,0.03811,0.76026,0.01977
5.179,0.11338,0.58914,-0.01416
5.189,0.06306,0.46815,0.00261
5.2,0.06306,0.46815,0.00261
5.221,-0.04348,0.54128,0.01435
5.221,-0.04348,0.54128,0.01435
5.231,-0.05426,0.51429,0.01847
5.242,-0.0619,0.3631,0.01551
5.253,-0.0619,0.3631,0.01551
5.274,0.05444,0.05887,0.03855
5.284,0.05444,0.05887,0.03855
5.295,-0.10292,0.13783,0.00856
5.306,-0.10292,0.13783,0.00856
5.324,-0.02755,-0.10936,-0.00376
5.335,-0.02755,-0.10936,-0.00376
5.345,-0.04807,-0.07374,-0.0345
5.355,-0.04807,-0.07374,-0.0345
5.366,0.07564,-0.02827,0.10779
5.377,0.1242,-0.00312,0.02829
5.39,0.13862,-0.0017,-0.01364
5.401,0.13862,-0.0017,-0.01364
5.412,0.06854,-0.01918,-0.00332
5.423,-0.01691,0.03204,0.021
5.438,-0.00123,0.2006,-0.00623
5.449,-0.00123,0.2006,-0.00623
5.46,0.03935,-0.00407,0.0891
5.471,0.03935,-0.00407,0.0891
5.481,0.08524,-0.18075,0.09858
5.493,0.10903,-0.43826,-0.03209
5.505,0.01559,-0.46894,0.04886
5.517,0.01559,-0.46894,0.04886
5.528,-0.04273,-0.30478,0.01826
5.539,-0.04273,-0.30478,0.01826
5.557,0.05573,-0.09958,-0.12595
5.568,0.05573,-0.09958,-0.12595
